"Year","Road.Type","Speed","Junction.Type","Brightness","Wind.Speed","Casualty.Class","Gender","Age","Damage","Severity"
"99","C",61,"1",54690,16,"D","F",59,21459.1,29
"02","C",52,"2",11726,12,"D","M",59,23052.33,33
"99","C",31,"4",71762,10,"P","F",38,18581.47,22
"99","U",87,"1",114670,16,"P","M",58,4907.8,2
"00","C",88,"0",93948,21,"P","F",59,18086.5,20
"98","U",37,"3",105766,7,"D","M",53,9090.82,5
"99","U",83,"2",103785,16,"O","M",28,11324.32,8
"98","C",85,"2",65820,23,"P","F",73,17967.57,20
"02","U",52,"3",65035,14,"O","F",72,10869.28,7
"02","M",58,"3",88121,20,"D","F",27,39273.29,96
"02","M",42,"2",29484,4,"P","F",48,39405.57,97
"98","A",45,"2",116066,22,"P","M",37,32872.01,68
"99","B",76,"3",95035,13,"O","M",42,27247.37,46
"98","U",73,"3",115195,4,"D","M",63,10595.11,7
"99","C",58,"2",72535,11,"O","F",53,24197.51,37
"02","C",35,"3",43107,19,"P","M",58,15750.7,16
"02","B",79,"0",98785,1,"O","F",24,29174.12,53
"00","B",79,"2",86255,14,"P","F",36,28817.58,52
"01","C",37,"4",46285,20,"O","F",77,19781.33,24
"00","U",60,"2",75035,22,"O","M",64,3619.18,1
"02","C",87,"1",5846,19,"P","M",25,13547.48,11
"01","C",63,"4",78785,2,"O","M",43,13284.65,11
"99","U",56,"2",51134,6,"D","M",54,12280.11,9
"98","A",89,"4",58894,17,"D","F",62,33177.36,69
"02","B",64,"1",67000,14,"P","M",32,29692.97,55
"99","M",88,"4",110035,9,"O","M",27,36428.64,83
"98","U",61,"2",45667,10,"P","M",40,3464.18,1
"00","A",90,"3",37109,11,"P","M",76,33432.01,70
"01","U",62,"1",56684,1,"D","F",67,913.95,0
"99","C",87,"2",108785,20,"O","M",60,23368.17,34
"01","M",42,"0",87596,2,"P","M",26,38406.61,92
"02","M",78,"3",33556,23,"D","F",30,36827.75,85
"02","M",40,"2",50035,13,"O","F",49,39314.3,97
"99","M",86,"3",49000,5,"P","M",22,36127.86,82
"01","B",38,"0",47535,1,"O","M",78,25805.34,42
"98","C",43,"0",25818,11,"D","M",38,21978.89,30
"99","C",87,"2",15164,11,"P","F",48,20544.88,26
"02","U",40,"2",3576,14,"D","F",27,9042.13,5
"98","C",38,"3",58211,23,"D","F",36,16711.87,17
"99","B",58,"2",21189,25,"P","F",34,29844.61,56
"00","U",65,"1",81285,9,"O","M",54,3874.23,1
"98","U",78,"0",86807,16,"P","F",70,6674.92,3
"98","C",58,"3",35397,22,"P","M",43,14784.46,14
"02","C",47,"4",58785,14,"O","M",52,20035.53,25
"02","M",67,"0",83785,2,"O","F",79,36315.81,82
"98","B",73,"3",60434,20,"D","F",43,30289.53,57
"98","C",81,"4",64383,18,"P","M",64,17889.29,20
"98","M",42,"0",52535,16,"O","M",26,38520.8,93
"99","B",37,"3",24846,9,"P","F",29,25669.55,41
"01","M",66,"2",11807,19,"D","F",23,37001.15,86
"98","B",81,"3",111541,3,"P","F",47,28565.84,51
"98","C",65,"2",23387,7,"D","F",63,12971.73,11
"02","U",53,"4",3232,6,"P","F",76,9465.89,6
"00","M",40,"3",30407,3,"D","F",78,36950.47,85
"98","M",62,"1",114005,15,"P","F",26,36753.12,84
"98","B",46,"2",51194,16,"D","M",18,30689.76,59
"01","A",41,"2",51285,15,"O","M",51,32576.16,66
"99","C",83,"2",39221,21,"D","M",57,14511.58,13
"98","C",80,"0",50162,15,"D","F",26,22933.05,33
"99","A",64,"1",96514,6,"P","M",61,34556.86,75
"98","U",66,"1",16496,9,"P","F",26,8542.62,5
"01","A",43,"1",1008,17,"D","M",26,34432.07,74
"99","M",88,"3",54894,5,"P","M",20,35909.91,81
"02","A",80,"2",107690,16,"P","M",69,33518.67,70
"00","U",53,"0",63194,14,"P","M",57,2035.48,0
"98","U",49,"0",87670,17,"P","F",34,4694.45,1
"98","A",75,"3",93785,23,"O","F",42,34284.53,73
"99","M",78,"3",20081,14,"D","M",29,35822.97,80
"02","A",85,"0",106285,5,"O","F",47,32117.02,64
"98","A",51,"1",63785,10,"O","M",56,35348.5,78
"00","B",52,"0",65035,5,"O","M",54,29011.7,53
"01","U",62,"1",8990,3,"D","M",77,8561.76,5
"99","U",57,"1",71285,23,"O","M",32,11834.87,9
"02","C",49,"4",119646,5,"P","M",75,20112.47,25
"99","U",79,"1",70796,14,"P","F",26,6073.93,2
"02","U",60,"4",75035,15,"O","M",60,9738.28,6
"98","B",36,"1",45035,11,"O","M",57,27201.53,46
"98","M",61,"2",50366,10,"D","M",25,39539.38,98
"99","A",56,"0",70035,5,"O","M",60,35641.81,79
"98","A",90,"4",25373,20,"D","M",30,31650.27,63
"99","C",60,"2",61032,7,"D","F",71,19744.3,24
"98","C",53,"0",66285,23,"O","F",44,24077.2,36
"98","A",35,"2",21051,25,"P","F",71,33198.38,69
"01","C",46,"1",21657,10,"P","M",24,14757.73,14
"00","A",58,"3",72535,4,"O","F",73,35435.69,78
"02","B",75,"2",68674,1,"P","F",52,30378.78,58
"02","A",78,"0",97535,4,"O","M",71,32472.72,66
"98","C",52,"4",65035,8,"O","M",31,23843.99,36
"98","U",75,"4",105133,20,"P","F",63,5015.11,2
"98","A",69,"0",86285,14,"O","F",34,34969.7,76
"02","U",32,"3",8371,24,"P","M",53,5562.81,2
"01","C",73,"1",22210,23,"D","F",66,22166.64,31
"01","C",71,"4",82750,14,"D","F",42,13517.81,11
"02","U",54,"2",67535,12,"O","F",54,6156.33,2
"02","A",33,"4",18153,18,"D","F",41,33321.06,69
"98","U",33,"1",41285,11,"O","M",70,4627.02,1
"99","U",33,"4",16985,12,"P","M",40,4425.35,1
"98","U",81,"4",101285,9,"O","M",21,4336,1
"00","A",60,"4",31762,6,"D","M",50,31773.05,63
"00","C",50,"0",62535,16,"O","M",56,18568.49,22
"98","B",84,"1",68652,24,"D","M",76,26929.92,45
"99","B",65,"3",96051,6,"P","F",49,30308.78,57
"98","B",54,"3",59071,18,"D","F",55,29952.2,56
"98","C",67,"4",83785,8,"O","F",52,18175.37,21
"02","M",34,"3",42535,7,"O","M",20,37357.14,87
"01","U",59,"2",73785,17,"O","M",68,593.56,0
"00","B",33,"3",67163,4,"D","M",60,30010.94,56
"02","U",84,"1",47213,5,"D","F",67,6266.9,2
"98","C",34,"0",42535,11,"O","F",31,18009.54,20
"00","C",49,"2",61285,2,"O","M",76,12406.97,10
"01","C",43,"3",78435,11,"P","F",30,16601.59,17
"02","B",77,"0",96285,11,"O","F",59,30403.11,58
"01","C",43,"4",39461,2,"P","M",69,17500.9,19
"00","B",68,"0",81583,12,"D","F",26,28556.18,51
"01","C",81,"1",101285,22,"O","M",75,18860.37,22
"00","C",70,"3",30845,10,"D","F",37,24958.42,39
"00","A",48,"2",17100,2,"D","F",63,31194.49,61
"00","C",66,"0",82535,16,"O","F",54,20180.43,25
"00","B",45,"1",87768,24,"P","F",61,29924.74,56
"99","U",82,"4",102535,5,"O","M",71,5314.17,2
"01","C",35,"0",43785,18,"O","M",77,21969.49,30
"99","U",75,"2",65117,20,"P","F",43,11778.32,9
"00","B",72,"4",90465,12,"P","F",56,28481.61,51
"99","C",51,"1",96014,22,"D","F",58,22221.84,31
"99","U",71,"0",117216,13,"P","M",72,2532.11,0
"98","B",79,"0",112922,15,"P","M",71,27910.96,49
"02","U",130.559474464972,"1",101403,4,"P","M",23,6566.43,3
"98","C",35,"0",43785,11,"O","M",55,21438.69,29
"00","U",64,"0",97805,20,"D","M",67,11542.65,8
"01","U",32,"1",40035,20,"O","F",48,7435.41,3
"00","U",70,"4",57300,4,"D","F",62,6102.08,2
"02","B",69,"3",18467,8,"P","M",52,29081.87,53
"99","U",65,"2",81285,23,"O","F",56,10758.9,7
"98","C",89,"2",55335,3,"P","M",28,17146.86,18
"01","U",58,"0",110883,16,"D","M",37,9959.45,6
"02","A",58,"1",25752,6,"P","M",76,33553.91,70
"01","C",38,"2",11507,13,"P","F",71,17076.97,18
"02","B",37,"1",27555,16,"P","F",23,26493.22,44
"00","C",74,"3",8121,14,"P","M",47,14135.16,12
"01","U",34,"4",66526,8,"P","F",35,4314.29,1
"00","B",75,"4",68490,23,"P","F",21,28461.37,51
"98","C",81,"4",60341,25,"P","F",35,23168.17,34
"01","A",30,"2",62728,1,"P","M",71,34221.61,73
"01","A",36,"2",45035,15,"O","M",77,31514,62
"01","U",44,"1",13415,3,"P","M",48,2167.29,0
"99","U",56,"0",51996,15,"D","F",55,858.08,0
"00","C",69,"2",86285,6,"O","M",38,12848.53,10
"98","U",87,"0",15847,5,"D","F",72,3495.19,1
"99","M",50,"1",66355,10,"P","M",28,37269.51,87
"98","C",37,"3",86761,10,"D","M",44,13927.4,12
"99","M",52,"2",52235,14,"P","F",57,37051.59,86
"01","U",68,"3",89871,8,"D","F",28,6027.81,2
"00","U",65,"2",48410,3,"D","F",36,6387.3,3
"01","B",62,"2",105387,7,"D","M",38,25487.67,41
"01","A",86,"2",58497,9,"P","F",35,31265.12,61
"01","C",44,"0",34159,7,"P","F",61,17237.15,19
"98","C",33,"3",32688,13,"P","F",18,20677.88,27
"01","U",38,"4",114949,16,"D","M",49,3407.65,1
"00","C",42,"2",52535,16,"O","M",27,15454.21,15
"02","U",37,"1",102358,9,"D","F",36,8847.66,5
"02","C",67,"2",83785,12,"O","F",60,21376.83,29
"98","B",73,"0",37171,23,"D","M",24,28077.88,49
"02","U",72,"0",4435,5,"P","M",40,4449.46,1
"98","C",57,"3",105170,21,"P","F",47,24843.9,39
"00","C",72,"4",60277,8,"P","M",33,22051.34,30
"00","B",53,"0",1331,14,"P","M",38,26085.76,43
"01","C",71,"3",35368,20,"D","M",20,17494.65,19
"98","M",90,"4",78068,20,"D","M",29,39341.25,97
"02","C",31,"1",38785,15,"O","M",78,23150.34,33
"98","M",49,"3",25840,21,"D","M",23,36557.28,84
"99","C",44,"2",69753,25,"P","F",49,12992.7,11
"02","B",70,"3",69750,11,"D","M",55,29066.55,53
"99","C",70,"1",87535,18,"O","M",39,13162.22,11
"01","M",46,"2",25473,18,"D","M",27,37689.98,89
"99","M",46,"1",50369,10,"D","M",22,39579.69,98
"98","A",45,"2",56285,3,"O","F",49,34460.77,74
"99","U",78,"2",97535,6,"O","M",59,1423.22,0
"99","B",60,"0",77376,7,"D","F",49,27334.19,47
"02","M",41,"4",51285,18,"O","M",23,37417.75,88
"01","U",77,"1",96285,3,"O","M",42,4348.04,1
"98","C",56,"3",70035,23,"O","F",58,17880.06,20
"02","A",35,"3",68273,24,"P","F",47,35075.26,77
"99","M",54,"3",53054,19,"D","F",24,37070.44,86
"01","C",57,"1",115651,24,"P","M",19,14077.67,12
"99","A",73,"0",32761,25,"D","F",72,32836.62,67
"00","B",75,"4",97580,11,"D","F",50,27588.75,48
"99","U",72,"3",110438,14,"D","M",29,8788.07,5
"02","M",90,"2",96985,7,"P","F",56,36827.48,85
"02","B",65,"2",8986,9,"D","F",61,29640.84,55
"99","A",35,"4",13062,6,"D","F",56,35082.66,77
"00","A",74,"3",92535,3,"O","F",38,31916.28,64
"02","A",71,"4",88785,9,"O","F",68,32671.17,67
"02","A",32,"4",2943,7,"D","F",77,33645.38,71
"00","C",87,"2",108089,2,"P","M",80,22778.66,32
"00","A",47,"0",84476,5,"P","M",40,31480.35,62
"99","A",67,"3",93355,3,"P","F",58,30893.12,60
"98","B",70,"4",40638,6,"P","F",59,28614.22,51
"98","C",78,"3",97535,6,"O","F",73,16937.57,18
"01","M",87,"3",55423,20,"D","M",27,38918.52,95
"01","B",74,"3",25979,10,"P","M",77,26428.11,44
"02","B",81,"0",30121,19,"D","F",34,26804.63,45
"01","M",79,"2",65373,8,"D","F",53,39923.68,100
"98","C",37,"1",76079,23,"P","M",58,21351.49,28
"01","M",55,"0",100283,15,"D","M",27,37336.42,87
"00","C",58,"3",72535,22,"O","F",62,24142.73,36
"98","C",84,"3",30206,18,"D","M",59,21331.64,28
"98","C",36,"3",102600,15,"P","F",56,23795.66,35
"02","B",50,"4",62535,1,"O","F",46,27735.37,48
"99","C",35,"3",65255,3,"D","F",21,14608.7,13
"98","B",35,"3",46006,7,"D","F",78,25281.39,40
"02","A",31,"4",1652,15,"D","M",42,31177.76,61
"98","B",54,"4",67535,6,"O","F",22,29689.76,55
"02","C",36,"4",58145,12,"D","M",20,19165.19,23
"99","U",66,"0",82535,9,"O","M",41,2400.11,0
"00","C",36,"1",65607,6,"P","M",42,18793.74,22
"98","U",34,"1",107306,10,"P","M",20,9348.32,5
"00","C",73,"1",110010,18,"P","F",26,14852.63,14
"02","B",53,"3",111961,23,"P","M",44,26523.8,44
"01","B",57,"1",101715,9,"P","F",69,30480.11,58
"00","M",67,"1",70372,11,"P","M",28,37928.27,90
"99","U",82,"1",71873,2,"D","M",39,1718.58,0
"99","U",42,"4",14443,21,"D","M",71,4514.26,1
"02","C",80,"3",100035,8,"O","F",33,20946.4,27
"02","C",65,"3",81285,9,"O","M",57,20119.43,25
"01","C",134.084192437585,"1",72535,11,"O","F",57,12994.56,11
"00","A",35,"0",43785,4,"O","M",64,31162.74,61
"02","U",59,"3",97618,9,"P","F",38,514.57,0
"99","M",45,"0",56285,8,"O","M",23,36897.36,85
"00","A",71,"2",52185,11,"P","F",40,31413.13,62
"01","U",51,"4",63785,18,"O","M",19,8964.56,5
"99","C",76,"0",98320,3,"P","M",25,18512.31,21
"01","C",56,"4",70035,5,"O","F",45,14906.21,14
"00","U",83,"2",49157,19,"P","M",36,1467.57,0
"99","C",36,"0",70027,11,"D","F",52,12926.41,10
"98","U",88,"4",106813,7,"D","F",19,10798.44,7
"99","B",48,"1",60035,21,"O","M",57,27607.93,48
"02","C",52,"2",27636,23,"P","M",39,16775.29,18
"02","U",48,"3",60035,18,"O","F",32,3496.55,1
"01","U",52,"0",90466,11,"D","M",22,1536.34,0
"02","C",46,"4",57535,10,"O","F",39,13236.65,11
"02","C",34,"2",73062,14,"P","F",79,22127.2,31
"98","U",138.982479621191,"4",72402,4,"D","M",57,6409.68,3
"00","C",56,"3",75231,6,"P","F",25,16116.72,16
"01","M",46,"1",994,12,"D","M",25,37587.71,88
"02","A",42,"3",94504,5,"D","F",46,33741.69,71
"99","A",40,"4",50035,2,"O","M",62,34083.24,73
"02","U",65,"2",12379,12,"D","M",71,1899.09,0
"00","C",74,"2",92535,20,"O","M",59,23536.52,35
"00","U",77,"4",105535,7,"D","F",41,2187.14,0
"00","U",67,"1",421,6,"P","F",52,3373.51,1
"99","U",46,"4",117378,9,"D","M",59,4387.07,1
"99","A",45,"0",56285,18,"O","M",76,34528.49,75
"99","C",63,"4",78785,16,"O","M",65,19864.35,25
"00","C",62,"1",4893,6,"D","F",19,14544.1,13
"00","C",56,"3",52753,17,"D","F",44,19906.7,25
"01","M",82,"0",102535,25,"O","M",20,39676.59,98
"99","C",62,"3",78717,4,"P","F",74,13639.92,12
"99","C",65,"3",109609,11,"D","M",27,23626.55,35
"02","U",47,"2",32290,18,"P","F",28,5493.13,2
"01","A",43,"0",53785,19,"O","M",59,31239.42,61
"00","U",79,"2",96820,13,"P","M",77,1003.78,0
"00","B",69,"4",86285,2,"O","M",40,25360.3,40
"00","U",37,"0",53407,24,"D","F",60,10244.16,7
"99","U",60,"3",115927,23,"D","M",28,3330.55,1
"00","B",49,"1",61285,15,"O","F",49,30607.63,59
"02","C",132.103893759195,"1",112532,4,"P","M",33,22081.59,30
"01","U",87,"4",34875,6,"P","F",44,7087.77,3
"00","C",44,"2",55035,23,"O","M",22,24789.27,38
"02","C",51,"1",42392,9,"P","M",57,14987.24,14
"98","U",52,"2",65035,2,"O","F",76,4628.87,1
"02","A",50,"0",101159,23,"D","F",65,33262.31,69
"00","U",80,"0",64151,12,"P","M",64,2602.77,0
"98","C",82,"4",4629,6,"D","F",27,23737.48,35
"00","U",65,"2",47234,12,"P","M",25,3700.7,1
"98","M",59,"2",73785,5,"O","M",23,38931.78,95
"99","U",31,"4",112786,22,"P","M",19,9435.41,6
"00","M",70,"4",61283,8,"P","M",30,36444.03,83
"98","C",83,"0",88843,23,"P","F",21,13446.7,11
"02","U",81,"0",38803,18,"D","F",57,6366.71,3
"98","A",32,"2",37581,20,"P","F",62,34119.75,73
"02","U",53,"2",52833,10,"P","M",33,11414.91,8
"99","U",57,"0",44630,2,"D","F",40,8231.92,4
"98","U",89,"4",58352,22,"D","F",47,6561.08,3
"00","C",74,"4",92535,10,"O","F",50,19031.73,23
"02","U",52,"3",65035,1,"O","F",68,10568.15,7
"00","C",70,"1",95931,14,"D","F",53,14703.83,14
"00","C",49,"0",62409,21,"D","F",35,17214.18,19
"99","U",82,"1",50873,13,"D","M",43,10999.29,8
"00","U",32,"0",45312,11,"D","M",60,7091.91,3
"01","A",52,"1",60626,20,"D","F",25,31158.69,61
"99","C",80,"0",50039,10,"P","F",46,14765.14,14
"99","U",66,"4",82535,14,"O","M",65,8919.38,5
"98","C",59,"3",2547,13,"P","F",23,22256.06,31
"99","A",85,"4",52307,13,"D","M",56,35659.03,79
"00","U",35,"2",38822,9,"P","M",39,10619.3,7
"00","B",41,"4",115202,18,"P","F",35,28037.44,49
"00","M",55,"4",68785,10,"O","F",57,35874.98,80
"01","U",37,"1",11083,22,"D","F",58,8486.34,5
"99","U",36,"2",17661,24,"P","F",23,6768.79,3
"99","U",49,"1",105162,9,"P","F",24,10247.44,7
"00","C",71,"4",88785,3,"O","M",31,18800.95,22
"02","M",42,"4",52535,19,"O","F",25,36090.83,81
"99","C",35,"0",111677,16,"D","F",50,24589.7,38
"01","C",31,"4",45399,23,"D","M",35,17511.03,19
"02","C",34,"1",67506,15,"D","M",65,14342.63,13
"00","U",31,"1",94176,20,"P","M",37,1871.73,0
"01","U",79,"0",42921,12,"P","F",76,11086.78,8
"02","M",58,"2",72535,15,"O","M",20,36620.35,84
"99","C",56,"4",111018,23,"D","F",58,16303.47,17
"99","M",61,"3",83169,15,"D","F",35,35680.88,80
"01","U",63,"2",44867,18,"D","F",79,9748.16,6
"02","U",35,"1",26104,22,"D","F",60,9552.32,6
"98","A",132.62529140804,"3",114922,17,"D","M",56,35605.08,79
"99","U",70,"4",107580,17,"P","F",52,1158.6,0
"02","U",48,"3",13072,4,"P","M",47,10323.86,7
"98","B",51,"2",69797,14,"D","F",50,25617.1,41
"02","U",65,"3",36923,14,"P","F",34,8362.3,4
"02","U",58,"3",58549,7,"D","F",66,1627.95,0
"98","B",54,"4",67535,11,"O","M",37,28379.35,50
"98","U",76,"3",50171,19,"P","F",40,10601.65,7
"02","C",89,"4",116616,7,"P","F",35,24659.41,38
"01","B",32,"1",40988,13,"P","F",29,26072.56,42
"01","U",36,"1",34520,22,"P","F",58,6020.69,2
"01","U",78,"1",87287,12,"D","F",62,6828.62,3
"02","U",56,"1",69194,2,"P","F",19,3564.69,1
"02","U",89,"3",65810,21,"P","M",54,8305.21,4
"01","U",49,"2",10386,18,"P","F",48,9486.05,6
"99","B",65,"4",81285,24,"O","M",48,30422.77,58
"98","U",78,"2",116312,16,"P","M",22,2036.23,0
"99","A",50,"0",82396,15,"D","F",24,34898.33,76
"99","C",64,"1",58217,12,"P","M",78,16476.88,17
"99","U",85,"2",106409,17,"P","F",20,9346.03,5
"02","M",70,"0",87535,7,"O","F",24,36507.22,83
"01","B",33,"0",22883,6,"P","M",27,29608.29,55
"01","U",38,"1",47535,14,"O","M",55,8719.41,5
"98","C",88,"4",43818,23,"D","F",25,14276.87,13
"98","B",87,"3",57413,1,"P","M",56,27809.16,48
"00","U",59,"4",94860,6,"D","M",40,11051.84,8
"01","C",38,"0",47535,2,"O","M",60,16404.25,17
"99","M",63,"2",78785,21,"O","F",49,39837.1,99
"00","C",58,"3",72535,14,"O","F",59,23939.13,36
"00","C",66,"4",82535,18,"O","M",52,20782.23,27
"00","A",55,"0",85455,9,"D","F",44,32065.89,64
"00","U",43,"0",82362,4,"D","F",78,6441.3,3
"00","A",52,"3",65035,4,"O","M",30,33268.68,69
"02","C",77,"3",96285,15,"O","F",46,24289.9,37
"01","C",49,"0",21124,24,"D","F",75,20204.81,26
"01","A",138.982537139673,"1",74853,8,"D","M",51,35140.83,77
"98","C",79,"3",97443,8,"D","F",41,16428.24,17
"02","C",60,"4",27160,19,"P","M",45,18811.94,22
"98","B",65,"1",81285,10,"O","M",70,29172.59,53
"98","A",52,"0",33820,3,"D","F",71,35193.69,77
"98","B",47,"4",109724,7,"P","F",71,30241.81,57
"02","M",48,"4",67864,19,"P","F",55,36545.27,83
"99","B",88,"0",110035,5,"O","M",59,26175.47,43
"02","C",31,"3",16060,25,"D","F",79,23294.59,34
"01","C",41,"0",58922,4,"P","M",62,23465.91,34
"00","M",71,"3",113295,14,"P","F",23,36051.09,81
"98","C",51,"0",21515,17,"D","M",36,22969.12,33
"98","B",65,"3",7133,24,"D","F",69,27118.97,46
"01","U",34,"2",42535,4,"O","M",46,1195.62,0
"01","M",88,"0",30946,2,"D","F",44,38879.56,94
"02","C",44,"4",55035,16,"O","F",52,22513.28,32
"01","C",80,"2",100035,23,"O","F",36,18591.86,22
"02","C",86,"0",59906,15,"D","M",60,20993.47,28
"99","B",57,"2",71285,12,"O","F",73,29031.49,53
"02","B",50,"1",62535,24,"O","M",39,29379,54
"01","A",45,"2",56285,5,"O","F",77,33986.54,72
"00","U",75,"4",86156,16,"D","F",25,5514.67,2
"99","C",41,"0",67331,12,"D","M",30,14699.58,14
"99","C",74,"4",6853,23,"D","F",45,13692.82,12
"02","C",56,"3",92872,1,"P","F",54,20455.31,26
"00","M",134.485531498212,"3",14396,1,"D","F",49,35963.15,81
"01","U",73,"3",62237,20,"P","M",41,6551.07,3
"00","B",134.156424636021,"1",68785,11,"O","M",19,30132.93,57
"99","U",78,"3",103592,1,"P","F",28,2587.85,0
"02","U",77,"2",63847,15,"D","F",68,5151.86,2
"02","A",83,"3",16149,8,"P","M",42,33780.79,71
"01","C",53,"1",66285,19,"O","F",46,23075.6,33
"98","B",51,"4",63785,2,"O","M",61,26574.89,44
"02","U",34,"0",42535,14,"O","M",68,9731.3,6
"02","A",49,"1",49614,4,"P","M",51,34750.91,75
"99","A",68,"2",85035,15,"O","F",65,33169.37,69
"00","M",49,"3",55435,10,"D","M",22,38326.08,92
"99","U",63,"3",78785,24,"O","M",40,4831.53,1
"01","M",59,"1",73785,1,"O","F",38,38561.79,93
"99","M",68,"1",53697,20,"D","F",68,39756.57,99
"01","B",90,"0",17103,21,"D","F",28,28085.73,49
"00","U",32,"0",57906,16,"P","F",54,1912.97,0
"00","U",65,"3",73446,24,"P","F",79,5797.76,2
"99","C",47,"0",30468,14,"P","M",64,20634.92,27
"00","C",36,"3",45035,16,"O","M",69,17987.58,20
"00","C",49,"0",2833,23,"D","F",60,22728.21,32
